fileid,lon,lat,date,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
104382,-0.158401588,51.51998519,202407,-0.18073997,0.04236467,-0.033818215,-0.056443673,-0.0998166,-0.04546594,0.02504639,-0.02104038,-0.0049952343,0.06193724
104383,-0.158054905,51.52004626,202407,-0.117559575,0.10265268,-0.09153964,-0.11605109,-0.068938,-0.062903516,0.005087248,-0.000635205,0.041458543,-0.03349369
104384,-0.154446039,51.5206342,201709,0.09996009,0.10535983,0.08492362,-0.14010659,0.062501475,-0.06989572,0.038538013,-0.1375916,0.0023642185,-0.098531604
104385,-0.154805297,51.52061761,201709,0.13888918,0.004426048,0.06871642,-0.101121806,0.08544196,-0.035783116,0.082726166,-0.04552322,-0.0071346406,-0.06305228
104386,-0.155156931,51.52057166,201709,0.10146912,-0.116388455,0.054627534,-0.06532323,0.15335988,-0.052406605,0.048595067,-0.097082205,0.03581067,-0.09204227
104387,-0.155502848,51.52050889,202407,-0.090162896,-0.069602065,0.043857962,-0.08579607,-0.038999666,-0.06107342,0.042067677,0.009836679,-0.039278068,0.046994403
104388,-0.153009847,51.52068654,201709,-0.22039618,-0.033520512,0.031165207,-0.17652121,-0.073417045,-0.012162744,0.08671308,-0.13716549,-0.056233533,-0.08595028
104389,-0.153368923,51.52068673,201709,-0.1603653,0.016240777,-0.018534278,-0.1397231,-0.005833562,-0.00010229653,0.1199081,-0.12053703,-0.014731402,-0.12514174
104390,-0.153728644,51.52067531,201709,-0.12986755,0.0982586,0.040575463,-0.21019214,0.022796802,0.01895027,0.088780865,-0.09331825,-0.033748668,-0.03590544
104391,-0.15408708,51.52065321,201709,0.0143067725,0.12465511,0.051300135,-0.21466906,0.07320424,-0.03366598,0.10907819,-0.09448833,0.021591578,-0.08678432
106101,-0.146928503,51.51295023,202408,-0.18511616,0.045357417,-0.054101035,0.06262814,-0.013661581,0.011568226,-0.10384102,-0.09537881,0.0015812448,-0.07033612
106102,-0.146585549,51.51301892,202408,-0.2354694,-0.12382554,0.017087787,0.027682213,-0.11484066,0.010108035,-0.046864074,0.06616755,-0.08627838,0.018719528
106103,-0.146242593,51.51308761,202408,-0.187443,-0.14869907,0.003763256,-0.039959285,-0.030965887,-0.043994486,-0.028991487,-0.06473117,-0.079329945,-0.005183886
106104,-0.145899641,51.5131563,202408,-0.18954362,-0.15539473,-0.0018500825,-0.07342892,-0.06339121,0.0060058683,-0.005321705,-0.011018803,-0.101972,-0.019540897
106105,-0.148991554,51.51254906,202408,-0.19821541,0.1101416,-0.028389452,0.08115974,-4.448434e-05,0.015269546,-0.038710386,-0.07050974,0.031732846,-0.0039260453
106106,-0.147957391,51.5127442,202408,-0.082628034,-0.040306974,0.03304428,0.011900922,-0.009019128,-0.007472695,-0.025669893,-0.047600906,0.043698993,-0.07094062
106107,-0.147614429,51.51281288,202408,-0.026743816,-0.06869047,-0.04263009,0.04763722,0.055992793,-0.07181885,-0.045597058,-0.069710776,0.0109305335,-0.06840718
106108,-0.147271467,51.51288155,202408,-0.18713456,0.021225918,-0.025543915,0.09376039,0.040498268,-0.019670278,-0.03468486,-0.035826072,-0.017438175,-0.068722434
106113,-0.145557133,51.51322582,202408,-0.14135617,-0.13455123,0.050733145,0.030387709,-0.06472053,0.047621623,0.004206317,0.017487146,-0.05325565,0.0047761835
106114,-0.145212499,51.51329075,202408,0.028120464,-0.08584796,0.021652412,0.051792685,0.07034488,0.04836912,-0.026306365,0.008985252,-0.01053513,-0.035626885
106115,-0.144865531,51.51335109,202408,0.07311286,-0.12175176,-0.02482396,0.015065918,0.05249348,0.065896235,-0.016157866,-0.04418657,-0.056489512,-0.0038875407
106116,-0.144518566,51.51341144,202408,-0.0692523,-0.026432198,-0.008777634,0.014696417,0.07749073,0.01729888,-0.061166,-0.040092394,-0.004589766,-0.0005475677
106192,-0.130230048,51.51482762,202304,0.15052044,-0.23912536,-0.01757194,-0.034076262,-0.083397545,0.09162999,-0.017982295,-0.020968165,0.08231029,0.011842617
106193,-0.131246808,51.51460046,202210,-0.12023057,-0.11137588,-0.13307087,-0.062217824,-0.124092035,0.010382337,-0.060797814,-0.011415267,-0.030591322,-0.03193219
106199,-0.1298872,51.5148963,202304,-0.019973023,-0.19024213,0.089272715,-0.038551204,-0.026173672,0.05944702,-0.08915206,-0.030144358,0.07213035,-0.00956317
107270,-0.148606813,51.51482208,202304,0.18983208,-0.12714675,-0.10409652,0.011231092,0.094433196,-0.004986627,-0.03421442,0.050376393,0.005431707,0.064215176
107274,-0.149500665,51.51602729,202304,0.057093266,-0.1501687,-0.11414285,-0.037294317,0.0348237,-0.090283655,-0.05511856,0.11149263,0.026170233,-0.0573622
107275,-0.149330777,51.51582912,202304,0.15222673,-0.15399002,-0.074923806,0.016785135,0.054761626,0.03735798,-0.058302987,0.048091173,0.040855046,-0.016771484
107276,-0.149185598,51.51562516,202304,0.17772949,-0.05351554,-0.08155952,0.033257537,0.071097426,0.14873269,-0.00072448445,0.03794957,0.079464935,-0.043641977
107277,-0.148998685,51.51543379,202304,0.07682028,-0.051620588,-0.018374896,0.018407093,0.067911446,0.12122854,-0.009149857,0.05462009,0.058977343,-0.04125884
107278,-0.1205886,51.5217522,202208,-0.100393556,0.10417675,-0.06410892,-0.07500532,-0.042184032,-0.04865589,0.047072534,-0.047700327,0.07139404,-0.04753815
107279,-0.120414171,51.52155556,202208,0.17708482,0.052827854,-0.2214299,-0.015733715,-0.038528785,0.0620574,0.05956938,0.04939739,0.025230497,0.004141006
